description,rationale,use_case,impact_area,transferability_score,actionability_rating,evidence_strength,type_(form),tag_(application),unique?,role,function,company,industry,country,date,source_(interview_#/_name),link,notes
Lots of good answers here but I think there's another aspect to this that you aren't considering. You got a job that was supposed to be a programming job but wasn't and then you turned it into one. Th...,,,,,,Peer-validated,pattern,,,,,,,,2017-06-28,stackexchange/workplace/answer,,Answer score: 192
"I'm not a single dad, but had often to take care of the kids, so I can imagine how you feel and what's going on inside of you. Stop worrying, enjoy the time you have with your son, and to have ethics ...",,,,,,Peer-validated,pattern,,,,,,,,2017-06-27,stackexchange/workplace/answer,,Answer score: 109
"What you want with the company is a contractor relationship, not an employee one. Contractors are paid to do a job and have full leeway to do it how they want, to even sub-contract the task to others,...",,,,,,Peer-validated,pattern,,,,,,,,2017-06-27,stackexchange/workplace/answer,,Answer score: 62
"Potential employer flew me out for interview, cancels return flight",,,,,,Peer-validated,pattern,,,,,,,,2019-01-15,stackexchange/workplace,https://workplace.stackexchange.com/questions/126565/potential-employer-flew-me-out-for-interview-cancels-return-flight,"Score: 721, Answers: 10, Tags: interviewing, united-states, travel, expenses"
"Seriously, what the heck? Is this normal for an employer to do? No, this is completely unacceptable. Sure, the interview didn't work out, but screwing the candidate because of that is just so, so bad....",,,,,,Peer-validated,pattern,,,,,,,,2019-01-15,stackexchange/workplace/answer,,Answer score: 504
"Seriously, what the heck? Is this normal for an employer to do? No. As far as slimy tactics by employers go, this is pretty up there. If I were you I'd name &amp; shame them on glassdoor and the like....",,,,,,Peer-validated,pattern,,,,,,,,2019-01-16,stackexchange/workplace/answer,,Answer score: 116
How should I deal with an employee who has slept with my wife?,,,,,,Peer-validated,pattern,,,,,,,,2013-01-09,stackexchange/workplace,https://workplace.stackexchange.com/questions/7617/how-should-i-deal-with-an-employee-who-has-slept-with-my-wife,"Score: 625, Answers: 20, Tags: work-environment, colleagues, relationships"
"Another option all together: Were you already considering an exit strategy at some point? You own a 30-40 employee company, which isn't oo small. If you are not married to this company for life, and h...",,,,,,Peer-validated,pattern,,,,,,,,2013-01-09,stackexchange/workplace/answer,,Answer score: 50
"I don't think you've correctly identified the problem. You weren't ""too good"" at your job, you simply performed a task without specific requirements. There were no guard rails. I don't think this is i...",,,,,,Peer-validated,pattern,,,,,,,,2018-12-14,stackexchange/workplace/answer,,Answer score: 191
"You aren't being punished for ""doing your job too well"". You're being punished for optimizing your work for one metric without taking into account other relevant metrics. Your ultimate job is to creat...",,,,,,Peer-validated,pattern,,,,,,,,2018-12-14,stackexchange/workplace/answer,,Answer score: 43
"Two things are bugging me about the OP's question. First, you definitely did not do your job too well. Oh, sure, the training scores are up. But productivity is down so much that upper management got ...",,,,,,Peer-validated,pattern,,,,,,,,2018-12-14,stackexchange/workplace/answer,,Answer score: 31
"Toxicity isn't likely to change Honestly even if you patch things up, it's still a toxic environment (any management that responds this way is toxic), so the problem will continue to come up. It looks...",,,,,,Peer-validated,pattern,,,,,,,,2018-12-14,stackexchange/workplace/answer,,Answer score: 19
"I'm probably reiterating a number of these posts, but I wanted to point out an additional perspective - that of the interview squad. Speaking as a manager, I can say that setting up a day long intervi...",,,,,,Peer-validated,pattern,,,,,,,,2012-08-29,stackexchange/workplace/answer,,Answer score: 63
"Do not judge professionalism based on the looks But lets start from the beginning. I've been and interviewer on the other side, working for a social networking company where someone would get a simila...",,,,,,Peer-validated,pattern,,,,,,,,2012-08-29,stackexchange/workplace/answer,,Answer score: 20
Can I talk to my rubber duck at work?,,,,,,Peer-validated,pattern,,,,,,,,2017-01-22,stackexchange/workplace,https://workplace.stackexchange.com/questions/83451/can-i-talk-to-my-rubber-duck-at-work,"Score: 400, Answers: 9, Tags: professionalism, unprofessional-behavior, behavior"
"Short Answer: In most cases, no. It is not uncommon for people to use techniques such as rubber duck debugging in software-centric businesses or departments. If a company is more business-centric in i...",,,,,,Peer-validated,pattern,,,,,,,,2017-01-24,stackexchange/workplace/answer,,Answer score: 14
"Set the duck under or beside your monitor and either very quietly or silently talk out the issue. Having a loud conversation with a duck will be understood by some, but not by most. It is also distrac...",,,,,,Peer-validated,pattern,,,,,,,,2017-01-22,stackexchange/workplace/answer,,Answer score: 11
I work with about 8 other colleagues in the same room. Some of them put headsets on all the time and some not. I also have the feeling that explaining my code to myself or to a colleague improves my p...,,,,,,Peer-validated,pattern,,,,,,,,2017-01-24,stackexchange/workplace/answer,,Answer score: 7
"If You are secure about your employability, that is if you get fired it's no big deal, and if wish to keep personal contact to the boss after you've left, and want to give impression of trustworthines...",,,,,,Peer-validated,pattern,,,,,,,,2017-05-10,stackexchange/workplace/answer,,Answer score: 15
My boss just brushed it off and said he was just a flirt and that I had nothing to worry about. He seemed completely unconcerned about my discomfort. Find a new job. Your boss will never do anything a...,,,,,,Peer-validated,pattern,,,,,,,,2017-03-13,stackexchange/workplace/answer,,Answer score: 19
How can I prepare for getting hit by a bus?,,,,,,Peer-validated,pattern,,,,,,,,2013-01-23,stackexchange/workplace,https://workplace.stackexchange.com/questions/9128/how-can-i-prepare-for-getting-hit-by-a-bus,"Score: 373, Answers: 13, Tags: work-environment, team, resignation, knowledge-transfer"
"Documentation. Reasonably frequent code commits. Documentation. Document your ideas, your designs and your code. Any gotchas you're aware of. Documentation. Document your bug fixes explaining what the...",,,,,,Peer-validated,pattern,,,,,,,,2013-01-23,stackexchange/workplace/answer,,Answer score: 221
"I wanted to reach out and answer those questions... The hardest lesson I ever learned was to not answer those questions. But to ask the right question to lead them, unsuspecting, in to finding the ans...",,,,,,Peer-validated,pattern,,,,,,,,2013-01-23,stackexchange/workplace/answer,,Answer score: 13
"Here is what we do where I work: a) We use a wiki for documentation. Not Microsoft Word files, or text files. A wiki that is searchable, fully change tracked, etc. (I would recommend Confluence, but C...",,,,,,Peer-validated,pattern,,,,,,,,2013-01-24,stackexchange/workplace/answer,,Answer score: 13
"I'd start with Standardization My last position before my current used to run a wild west type methodology. Everybody used the tools they wanted, what they were familiar with. What mattered was gettin...",,,,,,Peer-validated,pattern,,,,,,,,2013-01-24,stackexchange/workplace/answer,,Answer score: 9
"Planning for this is part of a Business Continuity Planning while this is about planning for bigger disasters than just you getting hit by a bus, but the process puts in place the pieces to recover fr...",,,,,,Peer-validated,pattern,,,,,,,,2013-01-24,stackexchange/workplace/answer,,Answer score: 5
"The reality is that any of our senior developers can walk out the door and have a new job with as much as 30-40% higher pay within a week. Most of us are only staying here for the casual environment, ...",,,,,,Peer-validated,pattern,,,,,,,,2014-01-16,stackexchange/workplace/answer,,Answer score: 94
"Your manager is your manager. Unless the company specifically doesn't allow your role to be set to fixed hours, or doesn't allow your manager to set fixed hours, or you have a contract controlling thi...",,,,,,Peer-validated,pattern,,,,,,,,2014-01-15,stackexchange/workplace/answer,,Answer score: 39
I've recently quit my job after securing a position in another company and I'd like to share my opinion about this situation. If the management doesn't know about current market prices for your positi...,,,,,,Peer-validated,pattern,,,,,,,,2014-01-16,stackexchange/workplace/answer,,Answer score: 19
No-one is indispensable. An uncomfortable truth but something you might consider when looking at whether you like the new regime or not. The new manager may not be experienced in the ways of developer...,,,,,,Peer-validated,pattern,,,,,,,,2014-01-16,stackexchange/workplace/answer,,Answer score: 11
If it was the CEO's decision to take away the work from home policy then HR is simply doing what they have been directed to do. If there is anyone that needs to be convinced it is the CEO. You can try...,,,,,,Peer-validated,pattern,,,,,,,,2019-02-13,stackexchange/workplace/answer,,Answer score: 257
"Some people still think that working remotely damages productivity and just gives people an excuse to slack off. HR is just the middle man, go straight to the CEO You need to be able to quantify to th...",,,,,,Peer-validated,pattern,,,,,,,,2019-02-13,stackexchange/workplace/answer,,Answer score: 82
"The way I read your question, it seemed you would have already tried many of the ""get it through to them"" approaches suggested in the other answers. So assuming that, if its as bad as you say: As a pr...",,,,,,Peer-validated,pattern,,,,,,,,2019-02-14,stackexchange/workplace/answer,,Answer score: 18
"In addition to planning your day, tidying things up, and just plain leaving early (to make up for staying late other times), let me suggest something that probably seems very counter-intuitive: Try to...",,,,,,Peer-validated,pattern,,,,,,,,2017-04-21,stackexchange/workplace/answer,,Answer score: 355
"Practice planning and writing it down. You can't code something else up, but there is usually some planning to code that goes on and if you write it down in those 30 minutes you can read it first thin...",,,,,,Peer-validated,pattern,,,,,,,,2017-04-21,stackexchange/workplace/answer,,Answer score: 19
"As a developer you're never done. Even if you cannot add new functionality to your code in the time left you can (and should) refactor it: improve names, reduce code duplication, split long methods/fu...",,,,,,Peer-validated,pattern,,,,,,,,2017-04-21,stackexchange/workplace/answer,,Answer score: 12
"This is a direct attack and somewhat creepy. Talk to your manager about it. Ask your manager if this guy is supposed to be monitoring you in the bathroom etc,. and that it's weird and upsetting that h...",,,,,,Peer-validated,pattern,,,,,,,,2019-01-28,stackexchange/workplace/answer,,Answer score: 240
"The answer here is similar to answers on all other questions about coworkers and performance, or coworkers and ""tattling:"" Be accountable for your own work/performance/timeliness and don't worry about...",,,,,,Peer-validated,pattern,,,,,,,,2019-01-28,stackexchange/workplace/answer,,Answer score: 18
There is nothing for you to tell your manager if you have been doing your work. Let your colleague submit his notes to your manager. Hopefully your manager will then have the sense to ask your colleag...,,,,,,Peer-validated,pattern,,,,,,,,2019-01-28,stackexchange/workplace/answer,,Answer score: 16
I&#39;m about to automate myself out of a job. How do I approach my boss to discuss this?,,,,,,Peer-validated,pattern,,,,,,,,2016-10-03,stackexchange/workplace,https://workplace.stackexchange.com/questions/77055/im-about-to-automate-myself-out-of-a-job-how-do-i-approach-my-boss-to-discuss,"Score: 346, Answers: 7, Tags: job-change"
